step	loss	lr	tok_per_s	rss_mb	per_task
111	8.116651	5.4215e-05	301.5	14065	listen=7.7211(1) speak=9.2418(4) text=6.7482(3) 
112	8.268985	5.3430e-05	432.1	14065	listen=7.5218(2) speak=9.3390(5) text=4.4134(1) 
113	7.628290	5.2645e-05	508.3	14065	listen=6.7978(4) speak=9.3126(3) text=5.8974(1) 
114	7.939238	5.1861e-05	450.4	14065	listen=6.7913(3) speak=9.2208(4) text=6.2569(1) 
115	7.775057	5.1078e-05	502.2	14065	listen=6.9545(5) speak=9.1427(3) 
116	7.777002	5.0296e-05	470.9	14065	listen=6.7501(3) speak=9.1718(3) text=7.2252(2) 
117	7.451486	4.9516e-05	490.9	14065	listen=6.4379(5) speak=9.1408(3) 
118	7.773430	4.8737e-05	447.3	14065	listen=5.9468(2) speak=9.1763(5) text=4.4120(1) 
119	7.664732	4.7960e-05	463.1	14065	listen=6.4950(3) speak=9.3083(4) text=4.5996(1) 
120	7.597963	4.7186e-05	354.4	14065	listen=6.6673(4) speak=9.1962(3) text=6.5261(1) 
121	7.959183	4.6414e-05	294.6	14065	listen=7.3776(4) speak=9.4478(3) text=5.8196(1) 
122	8.273155	4.5644e-05	429.9	14065	listen=6.6500(3) speak=9.2470(5) 
123	6.712225	4.4877e-05	484.6	14065	listen=6.7122(8) 
124	7.957692	4.4114e-05	279.7	14065	listen=6.8453(4) speak=9.0701(4) 
125	8.307600	4.3353e-05	425.7	14065	listen=6.7015(3) speak=9.2712(5) 
126	7.331869	4.2596e-05	403.4	14065	listen=6.4280(5) speak=9.3925(2) text=7.7297(1) 
127	6.478682	4.1843e-05	312.8	14065	listen=6.1574(6) speak=9.4034(1) text=5.4814(1) 
128	7.617259	4.1094e-05	445.6	14065	listen=6.7133(5) speak=9.1238(3) 
129	7.893090	4.0349e-05	456.1	14065	listen=7.1515(2) speak=9.3281(4) text=5.7647(2) 
130	8.492113	3.9609e-05	256.5	14065	listen=5.8363(1) speak=9.2034(6) text=6.8802(1) 
131	8.776730	3.8873e-05	374.0	14065	listen=6.7266(1) speak=9.0696(7) 
132	7.836514	3.8143e-05	475.1	14065	listen=6.6219(4) speak=9.0511(4) 
133	8.476173	3.7417e-05	399.6	14065	listen=6.5247(1) speak=9.1724(6) text=6.2502(1) 
